epxWave,epyWave
-13.8628,11.456
-14.1575,11.8003
-13.6741,11.4998
-13.862,11.4913
-13.8025,11.6936
-14.7269,11.3001
-14.2728,11.6224
-13.7785,11.8913
-13.9323,12.054
-14.272,11.5535
-14.3315,11.3168
-13.5496,11.7126
-14.0183,11.4733
-13.8553,11.6219
-14.0765,11.4423
-14.5331,11.5627
-14.2132,11.64
-14.3774,11.7027
-13.9661,11.5482
-14.2813,11.241
-14.4648,11.6079
-14.2888,11.5874
-14.7717,11.7562
-14.5059,11.7985
-14.4787,11.6841
-14.5755,11.8854
-14.813,11.588
-14.9813,11.8563
-15.0009,11.6777
-14.8541,11.3664
-15.1736,12.2506
-14.5778,12.1499
-15.2879,11.6856
-15.2056,11.406
-15.3829,11.4332
-15.3037,11.8611
-15.6452,11.1364
-15.538,11.9694
-15.3038,11.7229
-15.6839,11.9347
-15.511,11.8461
-15.3733,12.0407
-15.6676,12.0233
-15.8724,12.3326
-15.5172,11.9509
-15.6055,12.2564
-15.6837,12.2042
-16.0695,11.9989
-15.6061,12.1864
-15.6325,12.2989
-15.7286,12.2502
-16.3322,11.8618
-15.8366,12.2279
-15.7132,11.8335
-16.0537,11.9503
-15.9549,11.9568
-15.5789,11.7985
-15.688,11.6966
-16.0855,12.0957
-16.1608,11.927
-15.7887,12.2065
-15.7689,11.691
-16.1658,11.751
-15.9209,12.1115
-15.6662,11.8672
-16.0146,12.0405
-15.9258,12.2216
-15.894,11.8227
-16.2656,11.9431
-16.0815,11.8787
-16.476,12.1514
-16.8134,11.8279
-16.9759,11.8398
-16.7139,11.9102
-16.8764,11.6117
-16.54,11.9228
-16.9626,12.2913
-16.8759,12.0137
-16.8184,12.0894
-16.2872,12.0683
-16.3748,12.0451
-16.9151,11.8933
-16.7808,11.9553
-17.0276,11.736
-17.1605,11.8863
-16.9268,12.0367
-17.0726,11.6261
-16.9713,11.7248
-17.3312,12.1218
-17.1505,12.163
-17.0722,12.4184
-16.9665,12.1544
-16.9633,11.5866
-16.9606,12.2753
-17.2181,11.6453
-16.9932,11.8825
-17.214,11.7915
-17.2211,11.969
-17.1421,12.1298
-16.8387,12.0519
-17.2085,11.7816
-17.2632,12.2298
-17.505,11.9834
-17.4177,12.0875
-17.369,12.3923
-17.5571,11.691
-17.3827,12.445
-17.7485,12.4427
-17.4137,12.6389
-17.4734,12.1949
-17.2959,12.2671
-17.5114,12.1587
-17.3978,12.2834
-17.3496,12.3711
-17.6296,12.0277
-17.6171,11.9815
-17.9764,12.0489
-17.9351,12.2707
-17.9089,12.1872
-17.9726,12.3099
-17.4372,11.7899
-17.6886,11.7712
-17.7979,11.6049
-17.6648,12.217
-17.983,11.982
-18.1403,12.2978
-18.2037,11.8877
-18.233,12.3209
-18.1816,12.1474
-17.8366,12.0463
-18.5702,12.0582
-18.029,12.0346
-18.459,11.9952
-18.3971,12.1607
-18.2707,11.8011
-18.1367,12.0552
-18.3689,12.0727
-18.4574,11.8083
-18.5687,12.0464
-18.849,11.5461
-18.4923,11.6551
-18.7473,12.2055
-18.7105,11.7473
-18.9326,12.0471
-18.6957,11.6941
-18.4589,12.0024
-18.71,12.0631
-18.6815,11.9315
-19.0218,11.5635
-18.9922,11.714
-18.8122,12.3685
-18.6181,11.6645
-18.6542,11.6304
-18.78,11.348
-18.7616,11.6249
-18.6971,11.6687
-18.4445,12.0255
-18.5829,11.6817
-19.0133,11.6292
-18.7968,11.5938
-18.9508,11.4588
-18.6437,11.5737
-18.5688,11.8233
-19.0219,12.0962
-19.0691,11.7008
-18.8611,12.0332
-18.9847,11.6097
-19.0706,11.8163
